<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.04.12	18:00:00	1.09756	1.09873	1.09699	1.09863	3732	0	6
2023.04.12	19:00:00	1.09861	1.09962	1.09848	1.09958	2362	0	6
2023.04.12	20:00:00	1.09959	1.09985	1.09922	1.09936	2166	0	6
2023.04.12	21:00:00	1.09923	1.10000	1.09889	1.09945	3094	0	6
2023.04.12	22:00:00	1.09944	1.09962	1.09863	1.09881	2412	0	6
2023.04.12	23:00:00	1.09881	1.09915	1.09863	1.09910	707	0	6
2023.04.13	00:00:00	1.09900	1.09916	1.09877	1.09912	210	0	10
2023.04.13	01:00:00	1.09911	1.09949	1.09892	1.09949	467	0	6
2023.04.13	02:00:00	1.09949	1.09992	1.09932	1.09965	1022	0	6
2023.04.13	03:00:00	1.09965	1.10047	1.09877	1.10018	1948	0	6
2023.04.13	04:00:00	1.10018	1.10031	1.09942	1.09958	2121	0	6
2023.04.13	05:00:00	1.09958	1.09980	1.09922	1.09925	1556	0	6
2023.04.13	06:00:00	1.09925	1.09928	1.09836	1.09882	1630	0	6
2023.04.13	07:00:00	1.09881	1.09932	1.09878	1.09897	1010	0	6
2023.04.13	08:00:00	1.09896	1.09904	1.09829	1.09836	1123	0	6
2023.04.13	09:00:00	1.09838	1.09912	1.09766	1.09807	2141	0	6
2023.04.13	10:00:00	1.09809	1.10004	1.09807	1.09990	3470	0	6
2023.04.13	11:00:00	1.09990	1.10247	1.09988	1.10144	3810	0	6
2023.04.13	12:00:00	1.10144	1.10314	1.10104	1.10229	2863	0	6
2023.04.13	13:00:00	1.10229	1.10265	1.10128	1.10139	2455	0	6
2023.04.13	14:00:00	1.10139	1.10183	1.10081	1.10097	2399	0	6
2023.04.13	15:00:00	1.10099	1.10533	1.10081	1.10484	5859	0	6
2023.04.13	16:00:00	1.10488	1.10674	1.10430	1.10643	5347	0	6
2023.04.13	17:00:00	1.10643	1.10654	1.10443	1.10468	4729	0	6
2023.04.13	18:00:00	1.10466	1.10613	1.10458	1.10527	3319	0	6
2023.04.13	19:00:00	1.10526	1.10568	1.10472	1.10553	2240	0	6
2023.04.13	20:00:00	1.10554	1.10594	1.10502	1.10523	1877	0	6
2023.04.13	21:00:00	1.10524	1.10525	1.10436	1.10483	1911	0	6
2023.04.13	22:00:00	1.10483	1.10493	1.10441	1.10463	1565	0	6
2023.04.13	23:00:00	1.10463	1.10485	1.10458	1.10466	1001	0	6
2023.04.14	00:00:00	1.10459	1.10464	1.10421	1.10454	177	0	15
2023.04.14	01:00:00	1.10454	1.10489	1.10450	1.10478	471	0	6
2023.04.14	02:00:00	1.10478	1.10514	1.10477	1.10514	748	0	6
2023.04.14	03:00:00	1.10514	1.10587	1.10485	1.10542	1953	0	6
2023.04.14	04:00:00	1.10541	1.10634	1.10527	1.10633	1569	0	6
2023.04.14	05:00:00	1.10634	1.10749	1.10629	1.10700	1946	0	6
2023.04.14	06:00:00	1.10700	1.10732	1.10660	1.10700	1564	0	6
2023.04.14	07:00:00	1.10700	1.10725	1.10674	1.10687	1470	0	6
2023.04.14	08:00:00	1.10687	1.10744	1.10618	1.10741	1538	0	6
2023.04.14	09:00:00	1.10741	1.10754	1.10629	1.10666	2484	0	6
2023.04.14	10:00:00	1.10666	1.10711	1.10591	1.10651	2764	0	6
2023.04.14	11:00:00	1.10649	1.10656	1.10536	1.10588	2785	0	6
2023.04.14	12:00:00	1.10587	1.10639	1.10551	1.10624	2060	0	6
2023.04.14	13:00:00	1.10623	1.10664	1.10559	1.10583	2342	0	6
2023.04.14	14:00:00	1.10583	1.10584	1.10474	1.10536	2697	0	6
2023.04.14	15:00:00	1.10536	1.10735	1.10182	1.10343	7087	0	6
2023.04.14	16:00:00	1.10342	1.10360	1.10182	1.10294	4790	0	6
2023.04.14	17:00:00	1.10292	1.10292	1.09960	1.10057	6961	0	6
2023.04.14	18:00:00	1.10058	1.10092	1.09749	1.09786	4540	0	6
2023.04.14	19:00:00	1.09786	1.09849	1.09721	1.09774	3019	0	6
2023.04.14	20:00:00	1.09773	1.09898	1.09750	1.09870	2131	0	6
2023.04.14	21:00:00	1.09868	1.09987	1.09868	1.09985	1975	0	6
2023.04.14	22:00:00	1.09985	1.09990	1.09916	1.09963	1527	0	6
2023.04.14	23:00:00	1.09961	1.09975	1.09895	1.09927	853	0	6
2023.04.17	00:00:00	1.09903	1.09974	1.09890	1.09924	407	0	7
2023.04.17	01:00:00	1.09914	1.09934	1.09853	1.09866	1161	0	6
2023.04.17	02:00:00	1.09867	1.09902	1.09831	1.09842	824	0	6
2023.04.17	03:00:00	1.09841	1.09912	1.09723	1.09723	1532	0	6
2023.04.17	04:00:00	1.09725	1.09754	1.09614	1.09709	2675	0	6
2023.04.17	05:00:00	1.09710	1.09817	1.09707	1.09805	1652	0	6
2023.04.17	06:00:00	1.09805	1.09807	1.09759	1.09760	1151	0	6
2023.04.17	07:00:00	1.09760	1.09844	1.09755	1.09842	1253	0	6
2023.04.17	08:00:00	1.09842	1.09943	1.09837	1.09886	1760	0	6
2023.04.17	09:00:00	1.09884	1.09932	1.09833	1.09864	2397	0	6
2023.04.17	10:00:00	1.09864	1.09995	1.09861	1.09917	3199	0	6
2023.04.17	11:00:00	1.09916	1.09931	1.09637	1.09646	3354	0	6
2023.04.17	12:00:00	1.09644	1.09844	1.09643	1.09803	2997	0	6
2023.04.17	13:00:00	1.09803	1.09846	1.09723	1.09814	2531	0	6
2023.04.17	14:00:00	1.09814	1.09840	1.09722	1.09764	2615	0	6
2023.04.17	15:00:00	1.09765	1.09839	1.09514	1.09534	4106	0	6
2023.04.17	16:00:00	1.09534	1.09566	1.09295	1.09318	5082	0	6
2023.04.17	17:00:00	1.09319	1.09356	1.09089	1.09139	5196	0	6
2023.04.17	18:00:00	1.09140	1.09237	1.09119	1.09139	3873	0	6
2023.04.17	19:00:00	1.09137	1.09177	1.09104	1.09115	2563	0	6
2023.04.17	20:00:00	1.09115	1.09253	1.09113	1.09235	1510	0	6
2023.04.17	21:00:00	1.09235	1.09271	1.09187	1.09255	1423	0	6
2023.04.17	22:00:00	1.09257	1.09310	1.09249	1.09307	1448	0	6
2023.04.17	23:00:00	1.09303	1.09303	1.09260	1.09272	625	0	6
2023.04.18	00:00:00	1.09206	1.09265	1.09198	1.09250	307	0	17
2023.04.18	01:00:00	1.09251	1.09282	1.09232	1.09241	463	0	6
2023.04.18	02:00:00	1.09238	1.09262	1.09234	1.09242	562	0	6
2023.04.18	03:00:00	1.09242	1.09288	1.09220	1.09250	1319	0	6
2023.04.18	04:00:00	1.09250	1.09342	1.09232	1.09327	1797	0	6
2023.04.18	05:00:00	1.09327	1.09358	1.09278	1.09337	2056	0	6
2023.04.18	06:00:00	1.09336	1.09386	1.09329	1.09355	1557	0	6
2023.04.18	07:00:00	1.09355	1.09375	1.09334	1.09366	1130	0	6
2023.04.18	08:00:00	1.09366	1.09435	1.09340	1.09417	1370	0	6
2023.04.18	09:00:00	1.09420	1.09522	1.09347	1.09488	3026	0	6
2023.04.18	10:00:00	1.09488	1.09705	1.09465	1.09702	3570	0	6
2023.04.18	11:00:00	1.09700	1.09826	1.09663	1.09808	3174	0	6
2023.04.18	12:00:00	1.09808	1.09827	1.09702	1.09745	2879	0	6
2023.04.18	13:00:00	1.09745	1.09797	1.09688	1.09765	2369	0	6
2023.04.18	14:00:00	1.09775	1.09783	1.09655	1.09660	2719	0	6
2023.04.18	15:00:00	1.09660	1.09779	1.09542	1.09555	3577	0	6
2023.04.18	16:00:00	1.09556	1.09645	1.09426	1.09575	4934	0	6
2023.04.18	17:00:00	1.09576	1.09705	1.09529	1.09617	4620	0	6
2023.04.18	18:00:00	1.09619	1.09662	1.09559	1.09569	2674	0	6
2023.04.18	19:00:00	1.09570	1.09700	1.09544	1.09699	1793	0	6
2023.04.18	20:00:00	1.09700	1.09709	1.09667	1.09680	1543	0	6
2023.04.18	21:00:00	1.09680	1.09740	1.09671	1.09710	1390	0	6
2023.04.18	22:00:00	1.09709	1.09745	1.09693	1.09706	1333	0	6
2023.04.18	23:00:00	1.09705	1.09739	1.09697	1.09733	609	0	6
2023.04.19	00:00:00	1.09688	1.09720	1.09642	1.09702	696	0	6
2023.04.19	01:00:00	1.09702	1.09750	1.09698	1.09736	1491	0	6
2023.04.19	02:00:00	1.09736	1.09762	1.09731	1.09746	635	0	6
2023.04.19	03:00:00	1.09747	1.09825	1.09737	1.09824	1566	0	6
2023.04.19	04:00:00	1.09823	1.09839	1.09680	1.09692	1878	0	6
2023.04.19	05:00:00	1.09693	1.09738	1.09647	1.09736	1489	0	6
2023.04.19	06:00:00	1.09737	1.09751	1.09696	1.09738	1022	0	6
2023.04.19	07:00:00	1.09739	1.09742	1.09669	1.09682	1133	0	6
2023.04.19	08:00:00	1.09682	1.09700	1.09597	1.09608	1497	0	6
2023.04.19	09:00:00	1.09608	1.09701	1.09461	1.09559	4770	0	6
2023.04.19	10:00:00	1.09560	1.09721	1.09558	1.09623	3809	0	6
2023.04.19	11:00:00	1.09624	1.09627	1.09482	1.09553	3559	0	6
2023.04.19	12:00:00	1.09554	1.09629	1.09253	1.09298	4121	0	6
2023.04.19	13:00:00	1.09298	1.09414	1.09268	1.09336	2857	0	6
2023.04.19	14:00:00	1.09335	1.09336	1.09168	1.09307	3274	0	6
2023.04.19	15:00:00	1.09309	1.09495	1.09270	1.09493	3557	0	6
2023.04.19	16:00:00	1.09494	1.09636	1.09469	1.09599	4112	0	6
2023.04.19	17:00:00	1.09598	1.09791	1.09566	1.09569	4460	0	6
2023.04.19	18:00:00	1.09570	1.09621	1.09509	1.09528	3126	0	6
2023.04.19	19:00:00	1.09527	1.09664	1.09515	1.09655	2211	0	6
2023.04.19	20:00:00	1.09656	1.09665	1.09539	1.09557	1944	0	6
2023.04.19	21:00:00	1.09557	1.09602	1.09514	1.09524	1909	0	6
2023.04.19	22:00:00	1.09524	1.09556	1.09513	1.09544	1522	0	6
2023.04.19	23:00:00	1.09545	1.09567	1.09514	1.09556	880	0	6
2023.04.20	00:00:00	1.09540	1.09580	1.09493	1.09554	620	0	7
2023.04.20	01:00:00	1.09554	1.09568	1.09511	1.09525	555	0	6
2023.04.20	02:00:00	1.09525	1.09528	1.09467	1.09514	789	0	6
2023.04.20	03:00:00	1.09515	1.09588	1.09505	1.09565	1532	0	6
2023.04.20	04:00:00	1.09564	1.09612	1.09491	1.09600	2203	0	6
2023.04.20	05:00:00	1.09599	1.09606	1.09520	1.09537	1751	0	6
2023.04.20	06:00:00	1.09537	1.09614	1.09528	1.09592	1182	0	6
2023.04.20	07:00:00	1.09593	1.09595	1.09550	1.09589	930	0	6
2023.04.20	08:00:00	1.09589	1.09638	1.09551	1.09617	1191	0	6
2023.04.20	09:00:00	1.09616	1.09728	1.09598	1.09667	2513	0	6
2023.04.20	10:00:00	1.09667	1.09688	1.09494	1.09609	4100	0	6
2023.04.20	11:00:00	1.09610	1.09783	1.09558	1.09714	4045	0	6
2023.04.20	12:00:00	1.09711	1.09730	1.09560	1.09614	3236	0	6
2023.04.20	13:00:00	1.09614	1.09780	1.09573	1.09707	2360	0	6
2023.04.20	14:00:00	1.09708	1.09747	1.09534	1.09545	2466	0	6
2023.04.20	15:00:00	1.09546	1.09847	1.09332	1.09774	6039	0	6
2023.04.20	16:00:00	1.09773	1.09814	1.09642	1.09726	4380	0	6
2023.04.20	17:00:00	1.09725	1.09894	1.09709	1.09792	4693	0	6
2023.04.20	18:00:00	1.09793	1.09804	1.09653	1.09692	2992	0	6
2023.04.20	19:00:00	1.09693	1.09717	1.09630	1.09669	2294	0	6
2023.04.20	20:00:00	1.09670	1.09703	1.09634	1.09700	1656	0	6
2023.04.20	21:00:00	1.09699	1.09723	1.09585	1.09645	1856	0	6
2023.04.20	22:00:00	1.09646	1.09653	1.09560	1.09632	2035	0	6
2023.04.20	23:00:00	1.09631	1.09704	1.09630	1.09703	845	0	6
2023.04.21	00:00:00	1.09648	1.09704	1.09633	1.09678	357	0	16
2023.04.21	01:00:00	1.09678	1.09716	1.09669	1.09683	540	0	6
2023.04.21	02:00:00	1.09683	1.09697	1.09656	1.09673	568	0	6
2023.04.21	03:00:00	1.09674	1.09715	1.09615	1.09697	1318	0	6
2023.04.21	04:00:00	1.09699	1.09729	1.09649	1.09650	1512	0	6
2023.04.21	05:00:00	1.09651	1.09703	1.09630	1.09649	1507	0	6
2023.04.21	06:00:00	1.09649	1.09663	1.09628	1.09637	869	0	6
2023.04.21	07:00:00	1.09638	1.09638	1.09584	1.09601	871	0	6
2023.04.21	08:00:00	1.09602	1.09609	1.09555	1.09604	1129	0	6
2023.04.21	09:00:00	1.09604	1.09634	1.09378	1.09415	3073	0	6
2023.04.21	10:00:00	1.09415	1.09572	1.09383	1.09559	3919	0	6
2023.04.21	11:00:00	1.09559	1.09719	1.09522	1.09593	3722	0	6
2023.04.21	12:00:00	1.09592	1.09619	1.09512	1.09545	2669	0	6
2023.04.21	13:00:00	1.09544	1.09709	1.09487	1.09648	2397	0	6
2023.04.21	14:00:00	1.09648	1.09855	1.09627	1.09811	2991	0	6
2023.04.21	15:00:00	1.09811	1.09898	1.09731	1.09877	3268	0	6
2023.04.21	16:00:00	1.09878	1.09934	1.09530	1.09554	5479	0	6
2023.04.21	17:00:00	1.09553	1.09790	1.09424	1.09716	5588	0	6
2023.04.21	18:00:00	1.09718	1.09795	1.09700	1.09717	3635	0	6
2023.04.21	19:00:00	1.09717	1.09793	1.09690	1.09789	2600	0	6
2023.04.21	20:00:00	1.09788	1.09807	1.09718	1.09804	2166	0	6
2023.04.21	21:00:00	1.09804	1.09876	1.09748	1.09762	1664	0	6
2023.04.21	22:00:00	1.09763	1.09900	1.09744	1.09899	1514	0	6
2023.04.21	23:00:00	1.09900	1.09926	1.09850	1.09885	971	0	6
2023.04.24	00:00:00	1.09896	1.09908	1.09865	1.09865	368	0	7
2023.04.24	01:00:00	1.09865	1.09929	1.09865	1.09923	576	0	6
2023.04.24	02:00:00	1.09924	1.09959	1.09911	1.09916	603	0	6
2023.04.24	03:00:00	1.09915	1.09946	1.09840	1.09945	1340	0	6
2023.04.24	04:00:00	1.09945	1.09947	1.09867	1.09872	1641	0	6
2023.04.24	05:00:00	1.09871	1.09905	1.09800	1.09807	1766	0	6
2023.04.24	06:00:00	1.09800	1.09845	1.09796	1.09813	1216	0	6
2023.04.24	07:00:00	1.09813	1.09824	1.09795	1.09801	963	0	6
