<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.05.29	15:00:00	1.23654	1.23699	1.23450	1.23530	4837	0	8
2020.05.29	16:00:00	1.23529	1.23606	1.23321	1.23521	7245	0	8
2020.05.29	17:00:00	1.23519	1.23936	1.23441	1.23678	9984	0	8
2020.05.29	18:00:00	1.23675	1.23682	1.23115	1.23165	8495	0	8
2020.05.29	19:00:00	1.23174	1.23228	1.22909	1.23167	5818	0	8
2020.05.29	20:00:00	1.23165	1.23175	1.22972	1.23095	5120	0	8
2020.05.29	21:00:00	1.23095	1.23309	1.23045	1.23250	6615	0	8
2020.05.29	22:00:00	1.23255	1.23507	1.23166	1.23479	6362	0	8
2020.05.29	23:00:00	1.23479	1.23594	1.23400	1.23457	3327	0	8
2020.06.01	00:00:00	1.23304	1.23528	1.23252	1.23414	581	0	8
2020.06.01	01:00:00	1.23411	1.23538	1.23271	1.23451	1530	0	8
2020.06.01	02:00:00	1.23454	1.23489	1.23413	1.23447	1506	0	8
2020.06.01	03:00:00	1.23450	1.23908	1.23431	1.23750	3104	0	8
2020.06.01	04:00:00	1.23749	1.24108	1.23736	1.24099	3823	0	8
2020.06.01	05:00:00	1.24099	1.24143	1.24036	1.24040	2266	0	8
2020.06.01	06:00:00	1.24038	1.24038	1.23782	1.23860	2250	0	8
2020.06.01	07:00:00	1.23858	1.23941	1.23813	1.23820	1504	0	8
2020.06.01	08:00:00	1.23820	1.23909	1.23759	1.23889	2402	0	8
2020.06.01	09:00:00	1.23889	1.24072	1.23845	1.23857	3270	0	8
2020.06.01	10:00:00	1.23857	1.24251	1.23824	1.24224	5294	0	8
2020.06.01	11:00:00	1.24224	1.24234	1.23888	1.24043	6802	0	8
2020.06.01	12:00:00	1.24044	1.24167	1.23826	1.23894	4753	0	8
2020.06.01	13:00:00	1.23890	1.23943	1.23782	1.23848	3570	0	8
2020.06.01	14:00:00	1.23848	1.23945	1.23745	1.23888	3638	0	8
2020.06.01	15:00:00	1.23892	1.24028	1.23845	1.23975	4804	0	8
2020.06.01	16:00:00	1.23970	1.24246	1.23897	1.24230	5744	0	8
2020.06.01	17:00:00	1.24231	1.24840	1.24163	1.24823	7701	0	8
2020.06.01	18:00:00	1.24823	1.24881	1.24557	1.24695	5626	0	8
2020.06.01	19:00:00	1.24694	1.24800	1.24563	1.24641	3697	0	8
2020.06.01	20:00:00	1.24641	1.24804	1.24606	1.24778	2972	0	8
2020.06.01	21:00:00	1.24778	1.24957	1.24753	1.24956	2955	0	8
2020.06.01	22:00:00	1.24956	1.25064	1.24924	1.24990	3220	0	8
2020.06.01	23:00:00	1.24990	1.25001	1.24861	1.24881	2277	0	8
2020.06.02	00:00:00	1.24929	1.25016	1.24878	1.24914	574	0	8
2020.06.02	01:00:00	1.24911	1.24942	1.24837	1.24865	1090	0	8
2020.06.02	02:00:00	1.24865	1.24943	1.24824	1.24857	1637	0	8
2020.06.02	03:00:00	1.24856	1.25249	1.24853	1.25146	3362	0	8
2020.06.02	04:00:00	1.25152	1.25166	1.24986	1.25038	3434	0	8
2020.06.02	05:00:00	1.25038	1.25045	1.24819	1.24854	2803	0	8
2020.06.02	06:00:00	1.24855	1.24912	1.24837	1.24846	1878	0	8
2020.06.02	07:00:00	1.24846	1.24868	1.24780	1.24803	2173	0	8
2020.06.02	08:00:00	1.24803	1.25020	1.24797	1.25009	2889	0	8
2020.06.02	09:00:00	1.25004	1.25539	1.24943	1.25294	5359	0	8
2020.06.02	10:00:00	1.25292	1.25404	1.25031	1.25109	6225	0	8
2020.06.02	11:00:00	1.25109	1.25524	1.24973	1.25519	6596	0	8
2020.06.02	12:00:00	1.25519	1.25753	1.25501	1.25658	5640	0	8
2020.06.02	13:00:00	1.25658	1.25722	1.25448	1.25613	5584	0	8
2020.06.02	14:00:00	1.25613	1.25622	1.25268	1.25403	5071	0	8
2020.06.02	15:00:00	1.25406	1.25545	1.25280	1.25484	6044	0	8
2020.06.02	16:00:00	1.25484	1.25695	1.25430	1.25634	5919	0	8
2020.06.02	17:00:00	1.25634	1.25698	1.25519	1.25562	6462	0	8
2020.06.02	18:00:00	1.25562	1.25595	1.25271	1.25287	5814	0	8
2020.06.02	19:00:00	1.25285	1.25560	1.25271	1.25382	5147	0	8
2020.06.02	20:00:00	1.25384	1.25473	1.25284	1.25453	3448	0	8
2020.06.02	21:00:00	1.25453	1.25504	1.25319	1.25414	2977	0	8
2020.06.02	22:00:00	1.25414	1.25484	1.25324	1.25465	3398	0	8
2020.06.02	23:00:00	1.25464	1.25523	1.25412	1.25515	1665	0	8
2020.06.03	00:00:00	1.25487	1.25521	1.25471	1.25488	374	0	8
2020.06.03	01:00:00	1.25485	1.25502	1.25440	1.25491	565	0	8
2020.06.03	02:00:00	1.25490	1.25830	1.25470	1.25803	2965	0	8
2020.06.03	03:00:00	1.25803	1.26056	1.25709	1.25941	3728	0	8
2020.06.03	04:00:00	1.25942	1.26115	1.25826	1.25843	4352	0	8
2020.06.03	05:00:00	1.25841	1.25860	1.25662	1.25741	2836	0	8
2020.06.03	06:00:00	1.25742	1.25885	1.25702	1.25853	2678	0	8
2020.06.03	07:00:00	1.25853	1.25881	1.25773	1.25836	2312	0	8
2020.06.03	08:00:00	1.25836	1.25924	1.25814	1.25847	2242	0	8
2020.06.03	09:00:00	1.25847	1.25978	1.25816	1.25958	3597	0	8
2020.06.03	10:00:00	1.25958	1.26077	1.25739	1.25867	6176	0	8
2020.06.03	11:00:00	1.25867	1.25946	1.25636	1.25712	5582	0	8
2020.06.03	12:00:00	1.25712	1.26022	1.25692	1.25961	4510	0	8
2020.06.03	13:00:00	1.25962	1.25993	1.25762	1.25770	4997	0	8
2020.06.03	14:00:00	1.25778	1.25934	1.25538	1.25629	5454	0	8
2020.06.03	15:00:00	1.25627	1.25872	1.25611	1.25685	4883	0	8
2020.06.03	16:00:00	1.25685	1.25827	1.25529	1.25714	7077	0	8
2020.06.03	17:00:00	1.25713	1.26041	1.25638	1.25970	8812	0	8
2020.06.03	18:00:00	1.25970	1.26149	1.25917	1.25980	6744	0	8
2020.06.03	19:00:00	1.25980	1.26041	1.25840	1.25918	4485	0	8
2020.06.03	20:00:00	1.25917	1.25949	1.25817	1.25905	3289	0	8
2020.06.03	21:00:00	1.25905	1.25932	1.25817	1.25872	3408	0	8
2020.06.03	22:00:00	1.25872	1.25938	1.25800	1.25836	3612	0	8
2020.06.03	23:00:00	1.25838	1.25841	1.25695	1.25748	2168	0	8
2020.06.04	00:00:00	1.25749	1.25793	1.25687	1.25758	759	0	8
2020.06.04	01:00:00	1.25753	1.25756	1.25694	1.25727	482	0	8
2020.06.04	02:00:00	1.25727	1.25802	1.25702	1.25735	1453	0	8
2020.06.04	03:00:00	1.25735	1.25739	1.25287	1.25403	3053	0	8
2020.06.04	04:00:00	1.25403	1.25475	1.25350	1.25377	2696	0	8
2020.06.04	05:00:00	1.25376	1.25439	1.25356	1.25397	2776	0	8
2020.06.04	06:00:00	1.25397	1.25447	1.25355	1.25400	2098	0	8
2020.06.04	07:00:00	1.25400	1.25448	1.25356	1.25407	1657	0	8
2020.06.04	08:00:00	1.25407	1.25467	1.25349	1.25379	2198	0	8
2020.06.04	09:00:00	1.25382	1.25422	1.25244	1.25311	3528	0	8
2020.06.04	10:00:00	1.25312	1.25335	1.25040	1.25051	4370	0	8
2020.06.04	11:00:00	1.25048	1.25201	1.25002	1.25166	4320	0	8
2020.06.04	12:00:00	1.25166	1.25323	1.25082	1.25298	3429	0	8
2020.06.04	13:00:00	1.25298	1.25440	1.25212	1.25300	3922	0	8
2020.06.04	14:00:00	1.25300	1.25797	1.25271	1.25690	5562	0	8
2020.06.04	15:00:00	1.25688	1.25707	1.25146	1.25386	8956	0	8
2020.06.04	16:00:00	1.25385	1.25600	1.25289	1.25600	8067	0	8
2020.06.04	17:00:00	1.25597	1.26114	1.25499	1.26099	8328	0	8
2020.06.04	18:00:00	1.26099	1.26256	1.25809	1.26063	7621	0	8
2020.06.04	19:00:00	1.26060	1.26183	1.25979	1.26009	5532	0	8
2020.06.04	20:00:00	1.26007	1.26136	1.25963	1.26068	4552	0	8
2020.06.04	21:00:00	1.26068	1.26329	1.26067	1.26106	5222	0	8
2020.06.04	22:00:00	1.26106	1.26188	1.25901	1.25917	4956	0	8
2020.06.04	23:00:00	1.25914	1.25975	1.25846	1.25951	2515	0	8
2020.06.05	00:00:00	1.25965	1.26029	1.25854	1.25900	1049	0	8
2020.06.05	01:00:00	1.25902	1.26029	1.25899	1.25989	851	0	8
2020.06.05	02:00:00	1.25989	1.26129	1.25989	1.26055	1421	0	8
2020.06.05	03:00:00	1.26055	1.26088	1.25898	1.25922	2259	0	8
2020.06.05	04:00:00	1.25926	1.26014	1.25824	1.25875	2572	0	8
2020.06.05	05:00:00	1.25875	1.25941	1.25830	1.25909	2550	0	8
2020.06.05	06:00:00	1.25909	1.25982	1.25877	1.25973	2186	0	8
2020.06.05	07:00:00	1.25975	1.26227	1.25942	1.26134	2608	0	8
2020.06.05	08:00:00	1.26135	1.26407	1.26058	1.26348	2760	0	8
2020.06.05	09:00:00	1.26342	1.26644	1.26336	1.26487	5106	0	8
2020.06.05	10:00:00	1.26488	1.26903	1.26413	1.26690	5741	0	8
2020.06.05	11:00:00	1.26695	1.26746	1.26212	1.26366	4863	0	8
2020.06.05	12:00:00	1.26366	1.26499	1.26178	1.26322	4775	0	8
2020.06.05	13:00:00	1.26322	1.26350	1.26197	1.26329	3979	0	8
2020.06.05	14:00:00	1.26329	1.26640	1.26234	1.26624	5178	0	8
2020.06.05	15:00:00	1.26624	1.26802	1.26382	1.26563	8857	0	8
2020.06.05	16:00:00	1.26563	1.27044	1.26517	1.26718	10108	0	8
2020.06.05	17:00:00	1.26718	1.27312	1.26706	1.27250	7982	0	8
2020.06.05	18:00:00	1.27241	1.27263	1.26933	1.26997	6724	0	8
2020.06.05	19:00:00	1.26997	1.27053	1.26786	1.26799	4839	0	8
2020.06.05	20:00:00	1.26803	1.26816	1.26605	1.26634	4033	0	8
2020.06.05	21:00:00	1.26633	1.26788	1.26625	1.26678	4163	0	8
2020.06.05	22:00:00	1.26678	1.26727	1.26634	1.26655	3998	0	8
2020.06.05	23:00:00	1.26656	1.26749	1.26624	1.26661	2592	0	8
2020.06.08	00:00:00	1.26793	1.26956	1.26688	1.26866	770	0	8
2020.06.08	01:00:00	1.26858	1.26986	1.26719	1.26961	1058	0	8
2020.06.08	02:00:00	1.26961	1.27291	1.26952	1.27185	1823	0	8
2020.06.08	03:00:00	1.27185	1.27207	1.27026	1.27038	2170	0	8
2020.06.08	04:00:00	1.27039	1.27137	1.26891	1.26966	2841	0	8
2020.06.08	05:00:00	1.26966	1.27102	1.26928	1.26987	2371	0	8
2020.06.08	06:00:00	1.26987	1.27075	1.26976	1.27040	1846	0	8
2020.06.08	07:00:00	1.27040	1.27105	1.27019	1.27095	1704	0	8
2020.06.08	08:00:00	1.27095	1.27097	1.26966	1.27071	1950	0	8
2020.06.08	09:00:00	1.27078	1.27102	1.26834	1.26885	3577	0	8
2020.06.08	10:00:00	1.26885	1.27000	1.26765	1.26796	5556	0	8
2020.06.08	11:00:00	1.26799	1.27022	1.26756	1.27010	4996	0	8
2020.06.08	12:00:00	1.27010	1.27011	1.26641	1.26756	4227	0	8
2020.06.08	13:00:00	1.26756	1.26780	1.26277	1.26373	4589	0	8
2020.06.08	14:00:00	1.26375	1.26639	1.26346	1.26554	4374	0	8
2020.06.08	15:00:00	1.26554	1.26759	1.26510	1.26687	4713	0	8
2020.06.08	16:00:00	1.26687	1.27031	1.26665	1.26960	5537	0	8
2020.06.08	17:00:00	1.26956	1.27037	1.26741	1.26968	6830	0	8
2020.06.08	18:00:00	1.26973	1.27044	1.26812	1.26912	5209	0	8
2020.06.08	19:00:00	1.26907	1.27021	1.26825	1.26976	3978	0	8
2020.06.08	20:00:00	1.26979	1.27122	1.26962	1.27038	3078	0	8
2020.06.08	21:00:00	1.27038	1.27261	1.27026	1.27239	3032	0	8
2020.06.08	22:00:00	1.27240	1.27356	1.27162	1.27322	3434	0	8
